Format Version,1.23,Take Name,601_no1,Take Notes,,Capture Frame Rate,100,Export Frame Rate,100,Capture Start Time,2023-04-13 07.39.33.825 午征ECapture Start Frame,835242,Total Frames in Take,73413,Total Exported Frames,72923,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global
, ,,,,,,,,,,,,,,,,,,,,,
,Type,Marker,Marker,Marker,,,,,,,,,,,,,,,,,,
,Name,Unlabeled 2255,Unlabeled 2255,Unlabeled 2255,,,,,,,,,,,,,,,,,,
,ID,1E2D05B9E45472311EE,1E2D05B9E45472311EE,1E2D05B9E45472311EE,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,,,,,,,,,,,,,,,,,,
490,4.9,0.404629,0.90655,2.882402,,,,,,,,,,,,,,,,,,
491,4.91,0.404072,0.90286,2.852932,,,,,,,,,,,,,,,,,,
492,4.92,0.404285,0.899541,2.823075,,,,,,,,,,,,,,,,,,
493,4.93,0.405248,0.896596,2.792848,,,,,,,,,,,,,,,,,,
494,4.94,0.406936,0.894028,2.76227,,,,,,,,,,,,,,,,,,
495,4.95,0.409323,0.891842,2.731357,,,,,,,,,,,,,,,,,,
496,4.96,0.412377,0.890044,2.700126,,,,,,,,,,,,,,,,,,
497,4.97,0.416068,0.888644,2.668592,,,,,,,,,,,,,,,,,,
498,4.98,0.420363,0.88765,2.636774,,,,,,,,,,,,,,,,,,
499,4.99,0.425227,0.887073,2.604687,,,,,,,,,,,,,,,,,,
500,5,0.430625,0.886924,2.572348,,,,,,,,,,,,,,,,,,
501,5.01,0.436523,0.887216,2.539773,,,,,,,,,,,,,,,,,,
502,5.02,0.442883,0.887962,2.506979,,,,,,,,,,,,,,,,,,
503,5.03,0.44967,0.889175,2.473984,,,,,,,,,,,,,,,,,,
504,5.04,0.456849,0.890869,2.440806,,,,,,,,,,,,,,,,,,
505,5.05,0.464385,0.893056,2.407462,,,,,,,,,,,,,,,,,,
506,5.06,0.472244,0.895751,2.373974,,,,,,,,,,,,,,,,,,
507,5.07,0.480394,0.898965,2.340361,,,,,,,,,,,,,,,,,,
508,5.08,0.488803,0.902711,2.306644,,,,,,,,,,,,,,,,,,
509,5.09,0.497443,0.907,2.272848,,,,,,,,,,,,,,,,,,
510,5.1,0.506284,0.911842,2.238996,,,,,,,,,,,,,,,,,,
511,5.11,0.515301,0.917247,2.205114,,,,,,,,,,,,,,,,,,
512,5.12,0.524469,0.923221,2.171229,,,,,,,,,,,,,,,,,,
513,5.13,0.533765,0.929771,2.137369,,,,,,,,,,,,,,,,,,
514,5.14,0.543167,0.936904,2.103564,,,,,,,,,,,,,,,,,,
515,5.15,0.552656,0.944623,2.069844,,,,,,,,,,,,,,,,,,
516,5.16,0.562214,0.95293,2.036243,,,,,,,,,,,,,,,,,,
517,5.17,0.571822,0.961827,2.002793,,,,,,,,,,,,,,,,,,
518,5.18,0.581465,0.971314,1.969528,,,,,,,,,,,,,,,,,,
519,5.19,0.59113,0.98139,1.936484,,,,,,,,,,,,,,,,,,
520,5.2,0.600804,0.992053,1.903695,,,,,,,,,,,,,,,,,,
521,5.21,0.610476,1.003297,1.871201,,,,,,,,,,,,,,,,,,
522,5.22,0.620137,1.015119,1.839036,,,,,,,,,,,,,,,,,,
523,5.23,0.629778,1.027512,1.807239,,,,,,,,,,,,,,,,,,
524,5.24,0.639393,1.040467,1.775847,,,,,,,,,,,,,,,,,,
