,pulsetiming,x,y,z
0,4.9357,0.645248,3.072848,0.896596
1,4.9757,0.656068,2.948592,0.888644
2,5.0557,0.704385,2.687462,0.893056
3,5.153136,0.792656,2.349844,0.944623
4,5.201966,0.840804,2.183695,0.992053
5,5.2557,0.888976,2.024897,1.053975
6,5.337146,0.963974,1.797447,1.180288
7,5.403604,1.026585,1.636271,1.311829
8,5.460164,1.078389,1.532082,1.433214
9,5.5157,1.121004,1.470295,1.535658
10,5.5757,1.172526,1.424291,1.654219
11,5.640696,1.234619,1.403381,1.777135
12,5.681162,1.27156,1.404256,1.8356
13,5.71505,1.300053,1.410105,1.872374
14,5.751584,1.338994,1.424218,1.910978
15,5.788092,1.368715,1.439209,1.931749
16,5.831526,1.41855,1.471713,1.950574
17,5.888576,1.467904,1.512344,1.950083
18,5.933508,1.516429,1.560443,1.931437
19,6.006756,1.583471,1.642177,1.878468
20,6.1157,1.685674,1.817558,1.750283
21,6.181006,1.74721,1.965882,1.658222
22,6.23161,1.791179,2.088709,1.596739
23,6.281026,1.837808,2.222878,1.543688
24,6.336938,1.889485,2.36497,1.501994
25,6.39342,1.960316,2.540864,1.46921
26,6.46075,2.05512,2.746638,1.455552
27,6.541646,2.174129,2.973468,1.470256
28,6.588284,2.234875,3.079793,1.488616
29,6.633078,2.309245,3.201872,1.521088
30,6.6557,2.338036,3.246368,1.53683
31,6.6857,2.379861,3.307571,1.563062
32,6.7157,2.419892,3.361443,1.591945
33,6.7457,2.458142,3.407485,1.622742
34,6.7957,2.518774,3.466515,1.675712
35,6.862012,2.602349,3.514405,1.744444
36,6.965098,2.733127,3.526132,1.808438
37,7.02165,2.817322,3.508793,1.821759
38,7.061414,2.874443,3.488978,1.820807
39,7.099628,2.917707,3.470145,1.815531
40,7.14825,2.990823,3.431574,1.799234
41,7.20945,3.080435,3.373705,1.769541
42,7.287816,3.20128,3.275575,1.717685
43,7.364344,3.316983,3.149585,1.658224
44,7.4557,3.428618,2.970011,1.591302
45,7.562608,3.524383,2.697541,1.522583
46,7.653634,3.56794,2.44211,1.485121
47,7.774446,3.579726,2.08227,1.471205
48,7.777712,3.579726,2.08227,1.471205
49,7.840938,3.561141,1.875413,1.485466
50,7.90783,3.529193,1.706366,1.51018
51,7.982578,3.462742,1.49964,1.556828
52,8.062766,3.368901,1.320905,1.612524
53,8.1608,3.216235,1.143311,1.682918
54,8.239428,3.089848,1.050181,1.724457
55,8.299886,2.971348,0.990446,1.750421
56,8.365094,2.823771,0.944598,1.767265
57,8.433262,2.668305,0.926432,1.771069
58,8.51055,2.482679,0.94273,1.765372
59,8.5357,2.435097,0.953103,1.763163
60,8.571262,2.338721,0.981037,1.758566
61,8.616636,2.241045,1.017754,1.754312
62,8.65478,2.142564,1.062003,1.750969
63,8.69933,2.04387,1.112478,1.748952
64,8.767086,1.872638,1.212837,1.749113
65,8.833798,1.706471,1.325783,1.753583
66,8.911584,1.527727,1.467915,1.763169
67,8.97332,1.404904,1.583248,1.773564
68,9.035116,1.293872,1.706241,1.786697
69,9.0957,1.195404,1.836745,1.801523
70,9.1557,1.109313,1.974227,1.815815
71,9.2357,1.013006,2.167171,1.829959
72,9.3057,0.945635,2.343489,1.836242
73,9.3557,0.906859,2.472678,1.838205
74,9.3857,0.887099,2.551155,1.838955
75,9.4257,0.864489,2.656634,1.83995
76,9.4957,0.833632,2.842878,1.842259
77,9.5657,0.811012,3.03009,1.844061
78,9.6457,0.793951,3.242208,1.841745
79,9.6957,0.790492,3.371904,1.837028
80,9.80614,0.818434,3.64325,1.821503
81,9.88605,0.88156,3.820076,1.811097
82,9.96289,0.984291,3.968417,1.804899
83,10.03754,1.102752,4.067616,1.801592
84,10.10225,1.240919,4.134586,1.796506
85,10.16651,1.369975,4.166109,1.788238
86,10.2463,1.552203,4.17466,1.769471
87,10.31242,1.718604,4.157526,1.747048
88,10.36613,1.840632,4.135896,1.730784
89,10.40855,1.939822,4.11561,1.720045
90,10.4457,2.040134,4.094874,1.713029
91,10.4857,2.141257,4.075752,1.710712
92,10.5257,2.242791,4.060019,1.713189
93,10.5757,2.369542,4.046841,1.721799
94,10.64172,2.544762,4.040754,1.73946
95,10.75694,2.808487,4.045465,1.767444
96,10.82423,2.965273,4.040409,1.781362
97,10.96442,3.248363,3.961075,1.794539
98,11.03576,3.372298,3.874562,1.790935
99,11.1109,3.496232,3.739797,1.776908
100,11.21198,3.625834,3.529784,1.747917
