,pulsetiming,x,y,z
0,4.023434721999999,0.537058,4.005096,1.382018
1,4.0679416669999995,0.527554,3.999109,1.356992
2,4.100038889,0.518557,3.996239,1.343774
3,4.138997222,0.507504,3.99921,1.336645
4,4.178090972,0.506594,4.006392,1.339795
5,4.213382638999999,0.511331,4.008152,1.34444
6,4.257903471999999,0.521639,4.000925,1.347636
7,4.301059722,0.526776,3.993273,1.339024
8,4.343674305999999,0.531763,3.986272,1.31939
9,4.436288889,0.524041,3.950578,1.211167
10,4.471288889,0.518883,3.924952,1.163286
11,4.505125694,0.506524,3.876647,1.094769
12,4.5365493059999995,0.495738,3.830342,1.041561
13,4.566528472,0.48301,3.776497,0.988348
14,4.601146527999999,0.470581,3.714596,0.936842
15,4.642045832999999,0.457945,3.619894,0.871199
16,4.679556249999999,0.452127,3.511259,0.810052
17,4.71922986,0.45202,3.390803,0.755793
18,4.75795903,0.457981,3.260359,0.708966
19,4.804854859999999,0.47385,3.12124,0.673722
20,4.84674375,0.503142,2.937683,0.646785
21,4.884535419999999,0.523946,2.824287,0.640157
22,4.92189306,0.551882,2.672402,0.644931
23,4.949427779999999,0.571845,2.559356,0.658345
24,4.976806249999999,0.587202,2.448275,0.680293
25,5.049278469999999,0.601658,2.195707,0.759523
26,5.09862569,0.597019,2.021089,0.832301
27,5.1632437499999995,0.576931,1.807192,0.91812
28,5.22630625,0.551151,1.552833,1.001582
29,5.283872219999999,0.535467,1.372888,1.055123
30,5.34190347,0.542683,1.161837,1.119181
31,5.43819167,0.648662,0.845021,1.223803
32,5.51975069,0.816483,0.641032,1.292296
33,5.572538889999999,0.946887,0.53693,1.323223
34,5.610809719999999,1.064181,0.468801,1.341774
35,5.64136875,1.157259,0.423867,1.352817
36,5.665417359999999,1.253603,0.385052,1.364929
37,5.693448609999999,1.319736,0.360674,1.372212
38,5.776292359999999,1.626658,0.288247,1.417303
39,5.8081499999999995,1.734367,0.278447,1.432223
40,5.84105278,1.842102,0.267281,1.449837
41,5.87055625,1.952364,0.25652,1.471216
42,5.905722919999999,2.100922,0.24284,1.49376
43,5.941000689999999,2.211411,0.232884,1.495287
44,5.97279236,2.320466,0.223973,1.481811
45,6.01263264,2.46431,0.215871,1.451202
46,6.062320139999999,2.645179,0.214318,1.413324
47,6.116358329999999,2.868845,0.230581,1.373135
48,6.160063189999999,3.020995,0.257652,1.345378
49,6.19730972,3.171169,0.296474,1.323251
