Step,Convergence_Value
0,-4560522.679999713
1,-7042177.679067209
2,-9235418.835765157
3,-11444758.641417516
4,-13915634.63317609
5,-16332217.20522629
6,-18536508.890840255
7,-21005834.23190855
8,-23500928.7029167
9,-25710028.326206297
10,-28051360.212301474
11,-30144755.506614856
12,-32543456.582760155
13,-34908085.20031126
14,-37126130.770004235
15,-38914217.21014017
16,-40481261.625162594
17,-42050468.44606456
18,-43230331.25883173
19,-44386247.284503676
20,-45472540.356303304
21,-46284272.88274435
22,-47026307.355447605
23,-47597694.56163346
24,-47910660.320776105
25,-48181499.01615953
26,-48381379.381228685
27,-48615462.22482091
28,-48934168.54427125
29,-49315171.87817433
30,-49718527.193613276
31,-50840059.499314144
32,-52085280.89017451
33,-53591338.301369056
34,-54824359.746519834
35,-56053682.38823213
36,-57017668.496200345
37,-58402494.939381935
38,-59518972.393379025
39,-60499798.148303
40,-61733047.887127176
41,-62904934.36207162
42,-64080895.2876838
43,-64957723.85361408
44,-65847321.71077369
45,-66494589.26896707
46,-67017314.12462801
47,-67771973.44448528
48,-68429241.71355572
49,-70111797.44134812
50,-71803299.59457178
51,-73781212.93455333
52,-75813113.57741186
53,-77472197.69827558
54,-79052265.13623178
55,-81064048.25505704
56,-82452063.2355471
57,-83489406.63078003
58,-85527954.21561378
59,-87284588.01672284
60,-89384586.74430756
61,-91459827.95149386
62,-93580844.30313952
63,-95513803.29188181
64,-97116258.78882799
65,-98010589.0627568
66,-98823297.9270761
67,-99725072.38306536
68,-101290474.46339971
69,-102743624.12500046
70,-104002746.1398109
71,-105182108.32633376
72,-106435569.48044041
73,-107511110.56995063
74,-108697622.7318531
75,-109693821.62245645
76,-110608389.8362888
77,-111406826.59374362
78,-112058391.80889262
79,-112654100.67124973
80,-113292894.13645262
81,-113960298.90745196
82,-114626021.18059622
83,-115130669.27040218
84,-115616299.49344134
85,-115982247.93131773
86,-116272599.52615672
87,-116527699.0077676
88,-116783131.40135981
89,-117018034.07608327
90,-117093040.46420601
91,-117291751.13073148
92,-117423076.63164307
93,-117558360.83084878
94,-117677995.5256074
95,-117758563.62742978
96,-117918481.16751508
97,-118041280.88829137
98,-118108093.08190317
99,-118159069.32268468
100,-118211542.05425708
101,-118287362.76227461
102,-118404446.64659461
103,-118511017.42670847
104,-118739885.99357611
105,-118838011.27980419
106,-119231308.93527918
107,-119543420.84024704
108,-119614512.01005518
109,-119637133.56950697
110,-119747050.7274552
111,-119937257.29132472
112,-119999752.93367007
113,-120033654.3798382
114,-120060887.71225505
115,-120081354.65546963
116,-120135633.7556624
117,-120167581.473944
118,-120199789.81572388
119,-120265364.11221895
120,-120304379.90199158
