Step,Convergence_Value
0,-4488644.304853688
1,-4488644.304853688
2,-4488644.304853688
3,-4488644.304853688
4,-4488644.304853688
5,-6749353.189552625
6,-9222628.948105674
7,-11388301.28555489
8,-11388301.28555489
9,-11388301.28555489
10,-11388301.28555489
11,-13110956.114467775
12,-13110956.114467775
13,-15299647.630326029
14,-16234298.328365993
15,-18562021.681084134
16,-18562021.681084134
17,-20778031.34123109
18,-23122361.96648524
19,-25510393.617218375
20,-27762713.501444012
21,-29898774.494630024
22,-31922399.33123453
23,-33337666.4474383
24,-34856517.054530576
25,-36960388.342714995
26,-39136949.14174792
27,-41301934.39881646
28,-42969406.26795154
29,-44864343.49670884
30,-46213672.50618096
31,-47997552.29904254
32,-49270177.89204036
33,-50430562.49329887
34,-52241393.68234404
35,-53976423.96482883
36,-55367698.844375655
37,-56799676.2077205
38,-58088850.373180665
39,-59231356.84447333
40,-60262634.17087029
41,-61322719.36207639
42,-62342622.36108755
43,-62342622.36108755
44,-63186421.09170215
45,-63186421.09170215
46,-63956463.27377407
47,-63956463.27377407
48,-64649502.506858796
49,-64649502.506858796
50,-65204869.18647823
51,-65204869.18647823
52,-65594243.63586965
53,-65594243.63586965
54,-66705818.31081469
55,-66705818.31081469
56,-66705818.31081469
57,-67998468.28211667
58,-68867389.16017625
59,-69476124.66164389
60,-71041285.80527157
61,-72994531.74044359
62,-75029331.47422144
63,-75029331.47422144
64,-75029331.47422144
65,-76878566.08101308
66,-78642785.93198882
67,-80539819.13851485
68,-82334068.86582652
69,-83707791.4042581
70,-85319843.9309968
71,-86229208.61040115
72,-87288990.9545849
73,-87717107.73335618
74,-88649526.13789472
75,-88649526.13789472
76,-89977193.44158635
77,-91713654.10833171
78,-92902826.37790473
79,-94110918.22937003
80,-95593913.36302781
81,-97201823.48380697
82,-98536199.8199952
83,-99721858.46344994
84,-100847025.94114816
85,-101919391.66520102
86,-102889171.13357809
87,-103504352.29668626
88,-104030119.09781642
89,-104550363.39308923
90,-104823682.11387065
91,-105362872.05457576
92,-106041915.08227374
93,-106447070.38395214
94,-106590676.42837512
95,-106627997.70886166
96,-106627997.70886166
97,-106627997.70886166
98,-106627997.70886166
99,-106627997.70886166
100,-106627997.70886166
101,-106627997.70886166
102,-106627997.70886166
103,-106627997.70886166
104,-106627997.70886166
105,-106627997.70886166
106,-106627997.70886166
107,-107590683.5572777
108,-108412444.35625339
109,-109337024.61056142
110,-110243066.79139346
111,-111201916.693165
112,-111555183.14287329
113,-112525907.21082081
114,-113279841.64002497
115,-113954531.1011424
116,-114654459.66735905
117,-115225630.4818071
118,-116006946.18595964
119,-116752422.02604079
120,-117292482.89719589
121,-118184618.12611063
122,-118658204.93524465
123,-119395802.1354439
124,-119682182.04051138
125,-120354242.17640303
126,-120428021.61995701
127,-120861862.2575872
128,-121345971.75264901
129,-121767359.45647731
130,-121881343.65099815
131,-121913660.63620555
132,-121931273.62976526
133,-122054477.39044708
134,-122284732.34848148
135,-122314855.57773337
136,-122530138.02907908
137,-122536085.55020812
138,-122706998.00280876
139,-122706998.00280876
140,-122782504.25582804
141,-122816004.10435906
142,-122816004.10435906
143,-122833266.30048102
144,-123048012.25087619
145,-123048012.25087619
146,-123338833.90748967
147,-123338833.90748967
148,-123488508.94789568
149,-123488508.94789568
150,-123632136.06324798
151,-123731832.27886039
152,-124001811.25799122
153,-124130705.90189989
154,-124225957.49697769
155,-124243733.48025805
156,-124817321.2798042
157,-125290433.71578738
158,-125611770.39914854
159,-125891308.8195014
160,-125912645.30685595
161,-126121560.13173695
162,-126255994.01487057
163,-126351067.72599593
164,-126355262.16412517
165,-126396130.9831441
166,-126408035.85734987
167,-126419106.30983067
168,-126428413.97385311
169,-126441257.68369868
170,-126445113.11765012
171,-126458344.89774032
172,-126505964.09358117
173,-126588157.09295353
174,-126622850.28029771
175,-126637226.42634033
176,-126667897.17630634
177,-126681164.17651248
178,-126759046.57226816
179,-126818310.02027927
180,-127085868.56957413
181,-127141357.00492558
182,-127311012.82909715
183,-127336459.27860153
184,-127351876.42556769
185,-127357017.21365419
186,-127389796.73817116
187,-127423312.47574505
188,-127480793.2347134
189,-127511572.97754005
190,-127530333.58723232
191,-127629356.27600008
192,-127659696.7940128
193,-127677728.22045955
194,-127690158.59044467
195,-127806200.76793836
196,-127806200.76793836
197,-127897706.46763518
198,-127897706.46763518
199,-127964098.88544978
