step,position_x,position_y,head_direction,pulse_direction
1,2.5,6.05,270,270
2,2.456698729810778,6.0249999999999995,-150,-150
3,2.4133974596215557,6.05,150,150
4,2.4133974596215557,6.1,90,90
5,2.456698729810778,6.125,30,30
6,2.5,6.1,-30,-30
7,2.586036465452657,5.977127193356651,-55,-80
8,2.692102482630639,5.871061176178669,-45,-35
9,2.7403987739450923,5.884002128433795,15,75
10,2.7533397262002186,5.932298419748248,75,135
11,2.7179843871408913,5.967653758807575,135,-165
12,2.6696880958264377,5.9547128065524495,-165,-105
13,2.546815289183089,5.868676341099793,-145,-125
14,2.551173076320472,5.818866606195205,-85,-25
15,2.5964884656723046,5.79773569310817,-25,35
16,2.6929066071252854,5.682829026640324,-50,-75
17,2.742146994775896,5.69151143552367,10,70
18,2.887035868719256,5.6526885787582914,-15,-40
19,3.0019425351871027,5.556270437305311,-40,-65
20,3.0983606766400835,5.441363770837464,-50,-60
21,3.1617534159011886,5.305417602781967,-65,-80
22,3.2251461551622937,5.16947143472647,-65,-65
23,3.2639690119276716,5.024582560783109,-75,-85
24,3.312265303242125,5.011641608527984,-15,45
25,3.4599864661939566,5.037688835178023,10,35
26,3.607707629145788,5.011641608527984,-10,-30
27,3.7305804357891366,4.925605143075327,-35,-60
28,3.8366464529671185,4.819539125897345,-45,-55
29,3.9000391922282236,4.683592957841848,-65,-85
30,3.9860756576808805,4.560720151198499,-55,-45
31,4.024898514446258,4.415831277255139,-75,-95
32,4.0998985144462585,4.285927466687473,-60,-45
33,4.125945741096298,4.138206303735641,-80,-100
34,4.164768597861676,3.993317429792281,-75,-70
35,4.213064889176129,3.9803764775371553,-15,45
36,4.35795376311949,4.019199334302534,15,45
37,4.4640197802974715,4.1252653514805155,45,75
38,4.527412519558577,4.261211519536013,65,85
39,4.566235376323955,4.406100393479373,75,85
40,4.5793087377361035,4.555529598193135,85,95
41,4.592382099148252,4.704958802906897,85,85
42,4.5793087377361035,4.854388007620659,95,105
43,4.592382099148252,5.003817212334421,85,75
44,4.605455460560401,5.153246417048183,85,85
45,4.656758482059251,5.294200310166069,70,55
46,4.708061503558102,5.435154203283955,70,70
47,4.8044796450110825,5.5500608697518015,50,30
48,4.879479645011083,5.679964680319467,60,70
49,5.002352451654431,5.766001145772124,35,10
50,5.098770593107412,5.880907812239971,50,65
51,5.234716761162909,5.944300551501076,25,0
52,5.340782778340891,6.050366568679058,45,65
53,5.481736671458777,6.1016695901779086,20,-5
54,5.587802688636759,6.2077356073558905,45,70
55,5.574861736381633,6.256031898670344,105,165
56,5.499861736381633,6.38593570923801,120,135
57,5.5248617363816335,6.429236979427231,60,0
58,5.574861736381633,6.429236979427231,0,-60
59,5.7108079044371305,6.365844240166126,-25,-50
